Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note.1,Amount,Currency,Necessity,Label_Source
03-02-2022,CUB - online payment,Food,,Brownie,50.0,Expense,,50.0,INR,Not-essential,Manual
03-02-2022,CUB - online payment,Other,,To lended people,300.0,Expense,,300.0,INR,Necessary,Manual
03-01-2022,CUB - online payment,Food,,Dinner,78.0,Expense,,78.0,INR,Necessary,Manual
03-01-2022,CUB - online payment,Transportation,,Metro,30.0,Expense,,30.0,INR,Not-essential,Manual
03-01-2022,CUB - online payment,Food,,Snacks,67.0,Expense,,67.0,INR,Not-essential,Manual
2/28/2022 11:56,CUB - online payment,Food,,Pizza,339.15,Expense,,339.15,INR,Not-essential,Manual
2/27/2022 15:29,CUB - online payment,Food,,Lunch,243.0,Expense,,243.0,INR,Necessary,Manual
2/26/2022 16:01,CUB - online payment,Social Life,,,1700.0,Expense,,1700.0,INR,Not-essential,Manual
2/26/2022 14:07,CUB - online payment,Food,,Snacks,40.0,Expense,,40.0,INR,Not-essential,Manual
2/25/2022 12:08,CUB - online payment,Food,,,33.0,Expense,,33.0,INR,Necessary,Manual
2/24/2022 22:32,CUB - online payment,Household,,,303.0,Expense,,303.0,INR,Necessary,Manual
2/23/2022 16:06,CUB - online payment,Food,,Eggs,83.0,Expense,,83.0,INR,Necessary,Manual
2/23/2022 12:38,CUB - online payment,Apparel,,Earphone,399.0,Expense,,399.0,INR,Not-essential,Manual
2/22/2022 6:33,CUB - online payment,Transportation,,Auto to laxmi mills,120.0,Expense,,120.0,INR,Necessary,Manual
2/21/2022 16:06,CUB - online payment,Transportation,,Travel to koyambedu,138.0,Expense,,138.0,INR,Necessary,Manual
2/21/2022 15:40,CUB - online payment,Household,,Stuffs,336.0,Expense,,336.0,INR,Necessary,Manual
2/21/2022 15:38,CUB - online payment,Transportation,,Train cbe to chn,201.8,Expense,,201.8,INR,Necessary,Manual
2/20/2022 15:24,CUB - online payment,Food,,Lunch,200.0,Expense,,200.0,INR,Necessary,Manual
2/19/2022 23:03,CUB - online payment,Food,,Random stuff for drinks,111.0,Expense,,111.0,INR,Not-essential,Manual
2/19/2022 21:57,CUB - online payment,Food,,Snacks,250.0,Expense,,250.0,INR,Not-essential,Manual
2/19/2022 21:35,CUB - online payment,Transportation,,Bus ticket,1575.0,Expense,,1575.0,INR,Necessary,Manual
2/19/2022 20:45,CUB - online payment,Transportation,,Took from sbi,200.0,Expense,,200.0,INR,Necessary,Manual
2/19/2022 8:26,CUB - online payment,Transportation,,Metro,60.0,Expense,,60.0,INR,Necessary,Manual
2/19/2022 6:27,CUB - online payment,Other,,To auto anna,50.0,Expense,,50.0,INR,Necessary,Manual
2/19/2022 6:18,CUB - online payment,Transportation,,To egmore,270.0,Expense,,270.0,INR,Necessary,Manual
2/18/2022 23:01,CUB - online payment,Food,,Kfc dinner,348.0,Expense,,348.0,INR,Not-essential,Manual
2/17/2022 13:11,CUB - online payment,Food,,Lunch,80.0,Expense,,80.0,INR,Necessary,Manual
