Note,clean_note,Category
Brownie,brownie,Food
To lended people,to lended people,Other
Dinner,dinner,Food
Metro,metro,Transportation
Snacks,snacks,Food
Pizza,pizza,Food
Lunch,lunch,Food
To karthi,to karthi,Other
Snacks,snacks,Food
Tea lights,tea lights,Food
Creamstone,creamstone,Food
Tamen,tamen,Food
Hoodie for gobi,hoodie for gobi,Apparel
Eggs,eggs,Food
Earphone,earphone,Apparel
Auto to laxmi mills,auto to laxmi mills,Transportation
It better be worth it,it better be worth it,Transportation
Travel to koyambedu,travel to koyambedu,Transportation
Stuffs,stuffs,Household
Train cbe to chn,train cbe to chn,Transportation
Lunch,lunch,Food
Random stuff for drinks,random stuff for drinks,Food
Snacks,snacks,Food
Bus ticket,bus ticket,Transportation
Took from sbi,took from sbi,Transportation
Ramen with gobi,ramen with gobi,Food
Metro,metro,Transportation
To auto anna,to auto anna,Other
To egmore,to egmore,Transportation
Kfc dinner,kfc dinner,Food
Lunch,lunch,Food
Side dishes,side dishes,Food
Kfc ,kfc,Food
Dinner with aravind and buddies,dinner with aravind and buddies,Food
Mirror,mirror,Household
Lunch,lunch,Food
Dinner with aravind,dinner with aravind,Food
Kfc dinner,kfc dinner,Food
Bean bag,bean bag,Household
Auto to Gobi's place,auto to gobis place,Transportation
Cakepark,cakepark,Food
To kumara,to kumara,Food
To chennai,to chennai,Transportation
To gobi,to gobi,Other
Shawarma,shawarma,Food
Good soup,good soup,Food
To gowdham,to gowdham,Other
Parotta,parotta,Food
Vnr to apk,vnr to apk,Transportation
To vicky,to vicky,Other
To ksr station,to ksr station,Transportation
Dinner,dinner,Food
Cycle gap ,cycle gap,Food
Brunch,brunch,Food
Rapido to pg,rapido to pg,Transportation
Sent to barath,sent to barath,Other
Banana,banana,Food
Lunch with company,lunch with company,Food
Rapido to pg,rapido to pg,Transportation
To vicky,to vicky,Other
To vishnu,to vishnu,Other
Zinger box meal,zinger box meal,Food
Snacks,snacks,Food
Paani poori,paani poori,Food
Kfc date with myself,kfc date with myself,Food
Lemon tea,lemon tea,Food
Train to vnr,train to vnr,Transportation
Snack,snack,Food
Lunch with company,lunch with company,Food
Pepsi,pepsi,Food
Dinner,dinner,Food
Sent to vicky,sent to vicky,Food
Lunch,lunch,Food
Snacks with preethi and azar,snacks with preethi and azar,Food
Lunch with company,lunch with company,Food
Snacks,snacks,Food
Lunch + chocolate for preethi,lunch  chocolate for preethi,Food
Dinner,dinner,Food
Snack with preethi,snack with preethi,Food
Lunch with company,lunch with company,Food
To kumara,to kumara,Other
Eve snack,eve snack,Food
Bus to Bangalore,bus to bangalore,Transportation
Snacks,snacks,Food
Lunch pongal,lunch pongal,Food
Dinner,dinner,Food
Rapido to pg,rapido to pg,Transportation
Recharge by gowdham,recharge by gowdham,Other
Pizza,pizza,Food
Lunch with not preethi,lunch with not preethi,Food
Friday snacks with preethi gang,friday snacks with preethi gang,Food
Lunch with gowdham,lunch with gowdham,Food
Rent,rent,Household
Coffee + biscuit,coffee  biscuit,Food
Ketch up,ketch up,Food
Dinner with roommate,dinner with roommate,Food
Bingo,bingo,Food
Rapido to pg,rapido to pg,Transportation
McDonald's with company,mcdonalds with company,Food
Lended money returned to vishnu,lended money returned to vishnu,Other
Lended money returned to kumara,lended money returned to kumara,Other
Jan 2nd with shakur and barath,jan nd with shakur and barath,Food
To gobi 1st 1/4th,to gobi st th,Other
To abijith and to vicky lend money returned,to abijith and to vicky lend money returned,Other
Refund for bus ticket,refund for bus ticket,Transportation
Lunch with company,lunch with company,Food
Lunch with company,lunch with company,Food
To vicky,to vicky,Other
Sent to preethi,sent to preethi,Food
Dairy milk,dairy milk,Food
Lunch unlimited nv,lunch unlimited nv,Food
Tablet to gowdham,tablet to gowdham,Other
Dinner with barath,dinner with barath,Food
Train to vnr,train to vnr,Transportation
Snacks,snacks,Food
To barath,to barath,Food
Pg to office,pg to office,Transportation
Horlicks + kolakattai,horlicks  kolakattai,Food
Bommasandra to pg,bommasandra to pg,Transportation
Water,water,Food
Rapido + toll,rapido  toll,Transportation
Coffee and thattai,coffee and thattai,Food
Lunch with barath,lunch with barath,Food
Coconut water with stu,coconut water with stu,Food
Dinner with barath,dinner with barath,Food
Cab,cab,Transportation
Corn,corn,Food
Water,water,Food
Milk with bharath,milk with bharath,Food
Lunch with company,lunch with company,Food
Lemon tea with company,lemon tea with company,Food
Puffs and coffee,puffs and coffee,Food
Dinner with barath,dinner with barath,Food
Puffs,puffs,Food
Bun,bun,Food
