id,Date,description,Amount,type,category
1,03-02-2022,Brownie,50.0,Expense,Food
2,03-02-2022,To lended people,300.0,Expense,Other
3,03-01-2022,Dinner,78.0,Expense,Food
4,03-01-2022,Metro,30.0,Expense,Transportation
5,03-01-2022,Snacks,67.0,Expense,Food
8,2/28/2022 11:56,Pizza,339.15,Expense,Food
10,2/27/2022 15:29,Lunch,243.0,Expense,Food
11,2/26/2022 20:16,,25.0,Expense,Food
13,2/26/2022 17:37,To karthi,100.0,Expense,Other
14,2/26/2022 16:01,,1700.0,Expense,Social Life
15,2/26/2022 14:07,Snacks,40.0,Expense,Food
16,2/26/2022 1:39,Tea lights,84.0,Expense,Food
17,2/25/2022 12:08,,33.0,Expense,Food
18,2/24/2022 22:32,,303.0,Expense,Household
19,2/24/2022 22:21,Creamstone,289.0,Expense,Food
20,2/24/2022 19:15,Tamen,324.7,Expense,Food
21,2/23/2022 17:35,Hoodie for gobi,399.0,Expense,Apparel
22,2/23/2022 16:06,Eggs,83.0,Expense,Food
23,2/23/2022 12:38,Earphone,399.0,Expense,Apparel
24,2/22/2022 6:33,Auto to laxmi mills,120.0,Expense,Transportation
25,2/21/2022 22:15,It better be worth it,1300.0,Expense,Transportation
26,2/21/2022 16:06,Travel to koyambedu,138.0,Expense,Transportation
27,2/21/2022 15:40,Stuffs,336.0,Expense,Household
28,2/21/2022 15:38,Train cbe to chn,201.8,Expense,Transportation
29,2/20/2022 15:24,Lunch,200.0,Expense,Food
30,2/19/2022 23:03,Random stuff for drinks,111.0,Expense,Food
31,2/19/2022 21:57,Snacks,250.0,Expense,Food
32,2/19/2022 21:35,Bus ticket,1575.0,Expense,Transportation
33,2/19/2022 20:45,Took from sbi,200.0,Expense,Transportation
34,2/19/2022 20:45,Ramen with gobi,380.0,Expense,Food
35,2/19/2022 8:26,Metro,60.0,Expense,Transportation
36,2/19/2022 6:27,To auto anna,50.0,Expense,Other
37,2/19/2022 6:18,To egmore,270.0,Expense,Transportation
38,2/18/2022 23:01,Kfc dinner,348.0,Expense,Food
39,2/17/2022 13:11,Lunch,80.0,Expense,Food
40,2/16/2022 16:57,Side dishes,165.0,Expense,Food
41,2/16/2022 16:57,Kfc,475.0,Expense,Food
42,2/13/2022 21:54,Games,100.0,Expense,Social Life
43,02-12-2022,Dinner with aravind and buddies,491.0,Expense,Food
44,02-12-2022,Mirror,70.0,Expense,Household
45,02-12-2022,Lunch,80.0,Expense,Food
47,02-11-2022,Dinner with aravind,373.0,Expense,Food
48,02-10-2022,Kfc dinner,641.0,Expense,Food
50,02-08-2022,Bean bag,2099.0,Expense,Household
51,02-07-2022,Auto to Gobi's place,214.0,Expense,Transportation
52,02-06-2022,Cakepark,125.0,Expense,Food
53,02-06-2022,To kumara,150.0,Expense,Food
54,02-06-2022,To chennai,1000.0,Expense,Transportation
56,02-06-2022,To gobi,1500.0,Expense,Other
57,02-04-2022,Shawarma,80.0,Expense,Food
58,02-03-2022,Good soup,50.0,Expense,Food
59,02-03-2022,To gowdham,150.0,Expense,Other
60,02-02-2022,Parotta,120.0,Expense,Food
62,1/31/2022 8:44,Vnr to apk,50.0,Expense,Transportation
63,1/31/2022 8:27,To vicky,200.0,Expense,Other
64,1/31/2022 8:26,To ksr station,153.0,Expense,Transportation
65,1/30/2022 19:17,Dinner,155.0,Expense,Food
66,1/30/2022 19:01,Cycle gap,120.0,Expense,Food
67,1/30/2022 12:28,Brunch,105.0,Expense,Food
68,1/29/2022 21:56,Rapido to pg,44.0,Expense,Transportation
69,1/29/2022 14:44,Sent to barath,100.0,Expense,Other
70,1/28/2022 21:58,Banana,10.0,Expense,Food
71,1/28/2022 14:23,Lunch with company,138.0,Expense,Food
72,1/27/2022 21:25,Rapido to pg,43.0,Expense,Transportation
73,1/27/2022 13:41,To vicky,300.0,Expense,Other
74,1/27/2022 13:41,To vishnu,100.0,Expense,Other
75,1/27/2022 13:39,Zinger box meal,279.0,Expense,Food
78,1/26/2022 17:45,Snacks,115.0,Expense,Food
80,1/26/2022 16:52,Paani poori,25.0,Expense,Food
81,1/25/2022 13:35,Kfc date with myself,259.0,Expense,Food
82,1/25/2022 10:23,Lemon tea,18.0,Expense,Food
83,1/25/2022 9:20,Train to vnr,325.0,Expense,Transportation
84,1/24/2022 20:17,Snack,40.0,Expense,Food
85,1/24/2022 14:08,Lunch with company,133.0,Expense,Food
86,1/23/2022 21:45,Pepsi,40.0,Expense,Food
87,1/23/2022 21:41,Dinner,465.0,Expense,Food
88,1/23/2022 21:29,Sent to vicky,300.0,Expense,Food
89,1/23/2022 21:29,Lunch,302.0,Expense,Food
91,1/23/2022 21:27,Snacks with preethi and azar,176.0,Expense,Food
92,1/23/2022 21:27,Badminton,200.0,Expense,Social Life
94,1/21/2022 14:22,Lunch with company,188.0,Expense,Food
95,1/21/2022 11:47,Snacks,37.0,Expense,Food
97,1/19/2022 14:27,Lunch + chocolate for preethi,171.0,Expense,Food
98,1/18/2022 20:54,Dinner,301.15,Expense,Food
99,1/18/2022 17:10,Snack with preethi,59.0,Expense,Food
100,1/18/2022 13:51,Lunch with company,148.0,Expense,Food
101,1/18/2022 12:59,To kumara,200.0,Expense,Other
103,1/17/2022 18:31,Eve snack,100.0,Expense,Food
104,1/15/2022 21:17,Bus to Bangalore,1365.0,Expense,Transportation
106,1/15/2022 21:16,Snacks,70.0,Expense,Food
112,1/14/2022 16:54,Lunch pongal,1530.0,Expense,Food
113,1/13/2022 20:46,Dinner,66.0,Expense,Food
115,1/13/2022 17:47,Rapido to pg,43.0,Expense,Transportation
116,01-12-2022,Recharge by gowdham,479.0,Expense,Other
117,01-12-2022,Pizza,301.75,Expense,Food
119,01-11-2022,Lunch with not preethi,135.5,Expense,Food
120,01-10-2022,Friday snacks with preethi gang,106.0,Expense,Food
122,01-08-2022,Lunch with gowdham,535.3,Expense,Food
123,01-08-2022,Rent,4580.0,Expense,Household
