Category,Total_INR,Transactions,Average_INR,Percentage_of_Expenses
Food,24502.48,156,157.0671794871795,41.51274058010301
Household,12188.0,6,2031.3333333333333,20.64922743290865
Transportation,9203.8,31,296.89677419354837,15.59331797235023
Other,5117.0,22,232.5909090909091,8.669354838709678
Apparel,3388.0,7,484.0,5.740037950664137
Social Life,2513.7200000000003,5,502.744,4.258809975603145
Education,1400.0,1,1400.0,2.3719165085388996
Self-development,400.0,1,400.0,0.6776904310111141
Beauty,196.0,1,196.0,0.33206831119544594
Gift,115.0,1,115.0,0.1948359989156953
