Month,Expense,Income,Net_INR
2021-01,356.0,0.0,-356.0
2021-02,579.0,0.0,-579.0
2021-03,215.0,1000.0,785.0
2021-04,619.0,0.0,-619.0
2021-05,6625.0,8000.0,1375.0
2021-06,815.0,0.0,-815.0
2021-07,40.0,0.0,-40.0
2021-08,1230.72,0.0,-1230.72
2021-09,455.0,0.0,-455.0
2021-10,436.0,0.0,-436.0
2021-11,3620.4,5243.0,1622.6
2021-12,4963.72,2070.0,-2893.7200000000003
2022-01,8733.15,10695.0,1961.8500000000004
2022-02,12124.65,2200.0,-9924.65
2022-03,510.0,646.0,136.0
2022-04,1773.0,8000.0,6227.0
2022-05,2083.0,0.0,-2083.0
2022-06,3724.81,5440.0,1715.19
2022-07,229.0,0.0,-229.0
2022-08,7214.3,1260.0,-5954.3
2022-09,0.0,0.0,0.0
2022-10,747.0,0.0,-747.0
2022-11,508.5,0.0,-508.5
2022-12,1421.75,10200.0,8778.25
